Project_ID,Project_Name,Location,Project_Type,Area_sqft,Estimated_Budget_INR,Actual_Cost_INR,Material_Cost_INR,Labour_Cost_INR,Equipment_Cost_INR,Other_Cost_INR,Expected_Duration_Days,Actual_Duration_Days,Delay_Days,Contractor,Project_Status,Start_Date,Expected_End_Date,Actual_End_Date,Budget_Variance_INR,Budget_Overrun_Pct,Cost_Per_Sqft_INR
P0048,Crystal Enclave,Ahmedabad,Infrastructure,84767,239646000,302696000,137031000,62502000,22483000,80680000,875,890,15,Shree BuildTech,Completed,2023-10-09,2026-03-02,2026-03-17,63050000,26.31,3570.92
P0049,Green Valley Enclave,Mumbai,Residential,102829,243020000,235256000,82446000,57402000,24856000,70552000,600,605,5,Urban Infra,Completed,2022-01-21,2023-09-13,2023-09-18,-7764000,-3.19,2287.84
P0050,Royal Mall,Surat,Industrial,47078,97542000,103173000,48157000,30902000,7629000,16485000,515,515,0,Urban Infra,Ongoing,2024-04-20,2025-09-17,2025-09-17,5631000,5.77,2191.53
P0051,Skyline Complex,Surat,Residential,111288,268350000,227810000,93076000,62890000,26323000,45521000,470,470,0,Sunrise Constructions,Completed,2022-06-16,2023-09-29,2023-09-29,-40540000,-15.11,2047.03
P0052,Green Valley Mall,Ahmedabad,Industrial,88524,155483000,173760000,63922000,48909000,17483000,43446000,535,535,0,Apex Developers,Completed,2025-07-21,2027-01-07,2027-01-07,18277000,11.75,1962.86
P0053,Urban Complex,Ahmedabad,Residential,17219,42961000,39813000,15485000,10201000,5199000,8928000,170,180,10,MetroBuild,Completed,2023-01-23,2023-07-12,2023-07-22,-3148000,-7.33,2312.16
P0054,Galaxy Heights,Pune,Residential,5235,13438000,14825000,5485000,2742000,1400000,5198000,200,215,15,Shree BuildTech,Ongoing,2023-08-24,2024-03-11,2024-03-26,1387000,10.32,2831.9
P0055,Royal Complex,Vadodara,Commercial,47929,138133000,133795000,58337000,27403000,15713000,32342000,155,245,90,Patel Construction,Ongoing,2022-11-12,2023-04-16,2023-07-15,-4338000,-3.14,2791.52
P0056,Skyline Business Park,Ahmedabad,Residential,132309,345793000,283550000,126863000,82515000,32045000,42127000,186,196,10,GreenStone Projects,Ongoing,2022-01-14,2022-07-19,2022-07-29,-62243000,-18.0,2143.09
P0057,Skyline Enclave,Gandhinagar,Commercial,72444,218126000,225922000,102404000,50592000,15900000,57026000,760,884,124,Urban Infra,Delayed,2022-08-30,2024-09-28,2025-01-30,7796000,3.57,3118.57
P0058,Royal Enclave,Ahmedabad,Infrastructure,144639,413678000,426242000,203626000,82024000,32305000,108287000,786,906,120,Patel Construction,Completed,2024-02-16,2026-04-12,2026-08-10,12564000,3.04,2946.94
P0059,Urban Plaza,Ahmedabad,Infrastructure,106834,296585000,333874000,149110000,88239000,31127000,65398000,876,886,10,Apex Developers,Completed,2025-10-01,2028-02-24,2028-03-05,37289000,12.57,3125.17
P0060,Shree Residency,Ahmedabad,Commercial,89555,303290000,365986000,152331000,79029000,51450000,83176000,742,787,45,GreenStone Projects,Ongoing,2023-07-19,2025-07-30,2025-09-13,62696000,20.67,4086.72
P0061,Green Valley Mall,Mumbai,Commercial,78698,247214000,308891000,115610000,65566000,25255000,102460000,799,804,5,Urban Infra,Ongoing,2024-06-16,2026-08-24,2026-08-29,61677000,24.95,3925.02
P0062,Green Valley Complex,Pune,Industrial,129450,268422000,301625000,122802000,90414000,38268000,50141000,600,720,120,Royal Infra,Completed,2025-09-25,2027-05-18,2027-09-15,33203000,12.37,2330.05
P0063,Shree Mall,Ahmedabad,Industrial,141487,285145000,300382000,98096000,85001000,44417000,72868000,587,647,60,Royal Infra,Completed,2022-04-02,2023-11-10,2024-01-09,15237000,5.34,2123.04
P0064,Galaxy Heights,Ahmedabad,Industrial,48925,96908000,82248000,36121000,18831000,10959000,16337000,261,261,0,Patel Construction,Ongoing,2025-10-22,2026-07-10,2026-07-10,-14660000,-15.13,1681.1
P0065,Galaxy Industrial Park,Pune,Infrastructure,142023,427558000,446474000,174729000,132885000,39931000,98929000,475,513,38,Sunrise Constructions,Delayed,2024-08-13,2025-12-01,2026-01-08,18916000,4.42,3143.67
P0066,Metro Mall,Ahmedabad,Industrial,92388,187102000,195670000,63241000,50486000,27916000,54027000,828,828,0,Patel Construction,Ongoing,2026-01-18,2028-04-25,2028-04-25,8568000,4.58,2117.92
P0067,Metro Complex,Gandhinagar,Residential,13007,28342000,28233000,9317000,7596000,2187000,9133000,590,635,45,GreenStone Projects,Completed,2025-12-22,2027-08-04,2027-09-18,-109000,-0.38,2170.6
P0068,Metro Industrial Park,Gandhinagar,Residential,63596,150622000,165075000,63058000,30338000,17738000,53941000,740,806,66,Sunrise Constructions,Delayed,2023-05-24,2025-06-02,2025-08-07,14453000,9.6,2595.68
P0069,Urban Complex,Ahmedabad,Industrial,126101,264696000,305626000,126330000,59473000,43094000,76729000,710,766,56,GreenStone Projects,Delayed,2024-02-15,2026-01-25,2026-03-22,40930000,15.46,2423.66
P0070,Urban Enclave,Rajkot,Residential,93861,208970000,192627000,75948000,49307000,23366000,44006000,792,792,0,Shree BuildTech,Ongoing,2022-02-04,2024-04-06,2024-04-06,-16343000,-7.82,2052.26
P0071,Royal Business Park,Gandhinagar,Infrastructure,91740,272839000,250991000,105183000,72256000,25875000,47677000,558,628,70,Apex Developers,Delayed,2022-07-25,2024-02-03,2024-04-13,-21848000,-8.01,2735.89
P0072,Urban Residency,Ahmedabad,Residential,20524,54893000,55073000,21856000,14035000,5145000,14037000,650,670,20,Royal Infra,Ongoing,2025-01-09,2026-10-21,2026-11-10,180000,0.33,2683.35
P0073,Metro Enclave,Gandhinagar,Infrastructure,136149,347473000,328769000,140014000,64466000,32880000,91409000,246,389,143,MetroBuild,Delayed,2025-11-12,2026-07-16,2026-12-06,-18704000,-5.38,2414.77
P0074,Crystal Industrial Park,Ahmedabad,Commercial,130501,438518000,360922000,128149000,69980000,39960000,122833000,324,438,114,Patel Construction,Delayed,2024-10-22,2025-09-11,2026-01-03,-77596000,-17.7,2765.66
P0075,Skyline Business Park,Ahmedabad,Commercial,25611,82201000,74015000,25021000,20821000,7070000,21103000,148,193,45,Urban Infra,Ongoing,2024-10-18,2025-03-15,2025-04-29,-8186000,-9.96,2889.97
P0076,Shree Plaza,Ahmedabad,Commercial,19060,62664000,54651000,22704000,10751000,8062000,13134000,564,574,10,GreenStone Projects,Ongoing,2025-11-14,2027-06-01,2027-06-11,-8013000,-12.79,2867.31
P0077,Green Valley Plaza,Ahmedabad,Commercial,48303,142015000,165449000,65774000,40109000,23932000,35634000,838,838,0,GreenStone Projects,Completed,2023-07-20,2025-11-04,2025-11-04,23434000,16.5,3425.23
P0078,Sunrise Plaza,Pune,Residential,44711,97591000,119484000,38749000,22039000,16686000,42010000,583,583,0,Apex Developers,Ongoing,2025-02-03,2026-09-09,2026-09-09,21893000,22.43,2672.36
P0079,Galaxy Heights,Ahmedabad,Industrial,148026,294387000,261577000,99629000,49616000,27138000,85194000,399,519,120,Patel Construction,Ongoing,2023-12-04,2025-01-06,2025-05-06,-32810000,-11.15,1767.1
P0080,Royal Business Park,Ahmedabad,Residential,78340,203269000,220654000,74356000,57520000,27649000,61129000,270,397,127,Urban Infra,Delayed,2023-02-06,2023-11-03,2024-03-09,17385000,8.55,2816.62
P0081,Skyline Mall,Surat,Infrastructure,107974,324108000,364564000,147655000,95772000,51851000,69286000,359,374,15,Urban Infra,Completed,2023-12-31,2024-12-24,2025-01-08,40456000,12.48,3376.41
P0082,Crystal Enclave,Ahmedabad,Residential,145256,355460000,298916000,114582000,66053000,41261000,77020000,385,390,5,GreenStone Projects,Ongoing,2022-06-11,2023-07-01,2023-07-06,-56544000,-15.91,2057.86
P0083,Green Valley Residency,Vadodara,Residential,72728,160927000,167254000,69930000,34433000,17252000,45639000,813,843,30,MetroBuild,Completed,2022-07-21,2024-10-11,2024-11-10,6327000,3.93,2299.72
P0084,Green Valley Enclave,Vadodara,Infrastructure,16246,47826000,63323000,28425000,17581000,5002000,12315000,224,314,90,GreenStone Projects,Ongoing,2024-09-22,2025-05-04,2025-08-02,15497000,32.4,3897.76
P0085,Green Valley Business Park,Surat,Commercial,132796,405066000,446082000,164135000,91916000,33925000,156106000,552,642,90,MetroBuild,Ongoing,2022-09-27,2024-04-01,2024-06-30,41016000,10.13,3359.15
P0086,Metro Industrial Park,Mumbai,Commercial,97263,342501000,339269000,160792000,83136000,39411000,55930000,616,706,90,GreenStone Projects,Completed,2024-03-26,2025-12-02,2026-03-02,-3232000,-0.94,3488.16
P0087,Urban Complex,Gandhinagar,Commercial,140090,486132000,463176000,187911000,137186000,56234000,81845000,559,569,10,GreenStone Projects,Ongoing,2025-07-18,2027-01-28,2027-02-07,-22956000,-4.72,3306.27
P0088,Silver Business Park,Pune,Industrial,16302,32710000,26822000,11236000,5304000,3701000,6581000,867,867,0,Urban Infra,Completed,2023-04-01,2025-08-15,2025-08-15,-5888000,-18.0,1645.32
P0089,Urban Heights,Rajkot,Infrastructure,72506,225094000,242304000,103926000,70972000,22631000,44775000,804,849,45,MetroBuild,Completed,2026-01-25,2028-04-08,2028-05-23,17210000,7.65,3341.85
P0090,Skyline Plaza,Rajkot,Infrastructure,46157,117209000,146949000,62700000,29676000,12255000,42318000,277,277,0,Urban Infra,Ongoing,2025-06-29,2026-04-02,2026-04-02,29740000,25.37,3183.68
P0091,Shree Enclave,Pune,Residential,59917,152711000,140857000,56590000,34946000,14131000,35190000,291,306,15,Patel Construction,Completed,2024-10-13,2025-07-31,2025-08-15,-11854000,-7.76,2350.87
P0092,Royal Plaza,Ahmedabad,Industrial,101646,187846000,154034000,59858000,34695000,15139000,44342000,613,613,0,GreenStone Projects,Completed,2022-10-23,2024-06-27,2024-06-27,-33812000,-18.0,1515.4
P0093,Skyline Residency,Surat,Commercial,88122,310002000,291493000,95786000,86221000,23494000,85992000,430,430,0,Shree BuildTech,Completed,2023-12-21,2025-02-23,2025-02-23,-18509000,-5.97,3307.83
P0094,Silver Heights,Surat,Industrial,29519,53768000,60532000,19584000,12883000,7493000,20572000,522,582,60,MetroBuild,Completed,2022-12-04,2024-05-09,2024-07-08,6764000,12.58,2050.61
P0095,Metro Plaza,Ahmedabad,Infrastructure,85910,254853000,246846000,93129000,56271000,27325000,70121000,788,798,10,Sunrise Constructions,Ongoing,2024-05-28,2026-07-25,2026-08-04,-8007000,-3.14,2873.31
P0096,Sunrise Residency,Ahmedabad,Infrastructure,125430,383895000,353776000,132095000,105405000,45174000,71102000,889,949,60,Royal Infra,Completed,2024-12-12,2027-05-20,2027-07-19,-30119000,-7.85,2820.51
P0097,Metro Residency,Ahmedabad,Residential,76324,166539000,170253000,65042000,41606000,16721000,46884000,795,921,126,Sunrise Constructions,Delayed,2024-03-02,2026-05-06,2026-09-09,3714000,2.23,2230.66
P0098,Royal Residency,Vadodara,Residential,10408,24667000,25840000,8841000,6210000,2482000,8307000,778,838,60,Sunrise Constructions,Completed,2022-08-05,2024-09-21,2024-11-20,1173000,4.76,2482.71
P0099,Silver Plaza,Rajkot,Infrastructure,64379,192466000,164249000,71959000,34646000,17707000,39937000,785,815,30,Shree BuildTech,Completed,2024-02-03,2026-03-29,2026-04-28,-28217000,-14.66,2551.28
P0100,Green Valley Residency,Gandhinagar,Commercial,30053,96178000,95594000,43697000,25252000,13402000,13243000,582,702,120,Urban Infra,Completed,2022-07-07,2024-02-09,2024-06-08,-584000,-0.61,3180.85
P0101,Green Valley Plaza,Ahmedabad,Commercial,145518,446470000,428758000,201600000,77916000,31395000,117847000,486,531,45,Urban Infra,Ongoing,2023-01-15,2024-05-15,2024-06-29,-17712000,-3.97,2946.43
P0102,Sunrise Enclave,Ahmedabad,Industrial,136994,246847000,232799000,92835000,43287000,31285000,65392000,669,684,15,Royal Infra,Ongoing,2023-05-08,2025-03-07,2025-03-22,-14048000,-5.69,1699.34
P0103,Green Valley Residency,Ahmedabad,Infrastructure,103723,269785000,242255000,104688000,61030000,24109000,52428000,762,890,128,Royal Infra,Delayed,2024-11-30,2027-01-01,2027-05-09,-27530000,-10.2,2335.6
P0104,Urban Business Park,Ahmedabad,Infrastructure,56356,171773000,194610000,88915000,43009000,26928000,35758000,374,419,45,Apex Developers,Ongoing,2025-03-26,2026-04-04,2026-05-19,22837000,13.29,3453.23
P0105,Royal Complex,Ahmedabad,Commercial,15789,51868000,48895000,18919000,14395000,6561000,9020000,327,357,30,Royal Infra,Completed,2022-01-15,2022-12-08,2023-01-07,-2973000,-5.73,3096.78
P0106,Royal Industrial Park,Rajkot,Commercial,102720,301357000,247113000,91310000,71263000,24193000,60347000,569,614,45,Sunrise Constructions,Ongoing,2022-03-06,2023-09-26,2023-11-10,-54244000,-18.0,2405.7
P0107,Shree Business Park,Rajkot,Infrastructure,71656,197460000,207672000,97580000,55167000,26065000,28860000,214,348,134,Sunrise Constructions,Delayed,2023-06-05,2024-01-05,2024-05-18,10212000,5.17,2898.18
P0108,Royal Residency,Gandhinagar,Residential,49028,115420000,127773000,51430000,35544000,10576000,30223000,597,602,5,Urban Infra,Completed,2025-09-29,2027-05-19,2027-05-24,12353000,10.7,2606.12
P0109,Royal Mall,Surat,Infrastructure,69484,182879000,169068000,67553000,43971000,23957000,33587000,802,847,45,Sunrise Constructions,Completed,2025-02-26,2027-05-09,2027-06-23,-13811000,-7.55,2433.19
P0110,Skyline Plaza,Ahmedabad,Infrastructure,37154,103595000,98710000,34405000,19255000,10104000,34946000,881,901,20,Urban Infra,Ongoing,2023-10-10,2026-03-09,2026-03-29,-4885000,-4.72,2656.78
P0111,Shree Plaza,Mumbai,Commercial,7336,22843000,21521000,7259000,5851000,2291000,6120000,309,319,10,GreenStone Projects,Completed,2026-02-04,2026-12-10,2026-12-20,-1322000,-5.79,2933.62
P0112,Royal Mall,Pune,Commercial,108677,339141000,331816000,150889000,68096000,41962000,70869000,830,951,121,GreenStone Projects,Delayed,2024-12-22,2027-04-01,2027-07-31,-7325000,-2.16,3053.23
P0113,Royal Complex,Gandhinagar,Residential,72779,185601000,213965000,89493000,46818000,29028000,48626000,603,603,0,Urban Infra,Completed,2025-03-08,2026-11-01,2026-11-01,28364000,15.28,2939.93
P0114,Silver Mall,Rajkot,Residential,24029,54735000,55081000,20497000,15329000,4897000,14358000,852,852,0,MetroBuild,Completed,2023-08-16,2025-12-15,2025-12-15,346000,0.63,2292.27
P0115,Sunrise Residency,Ahmedabad,Industrial,64201,127009000,142345000,49917000,34787000,17495000,40146000,655,767,112,Urban Infra,Delayed,2023-01-27,2024-11-12,2025-03-04,15336000,12.07,2217.18
P0116,Galaxy Business Park,Surat,Infrastructure,37265,107007000,96707000,39542000,27387000,9802000,19976000,875,973,98,Patel Construction,Delayed,2023-02-23,2025-07-17,2025-10-23,-10300000,-9.63,2595.12
P0117,Green Valley Industrial Park,Pune,Commercial,107916,353958000,344740000,142525000,70866000,34300000,97049000,542,572,30,Patel Construction,Completed,2022-10-16,2024-04-10,2024-05-10,-9218000,-2.6,3194.52
P0118,Royal Industrial Park,Ahmedabad,Residential,51197,128508000,145790000,51481000,36875000,18253000,39181000,759,793,34,Patel Construction,Delayed,2023-01-14,2025-02-11,2025-03-17,17282000,13.45,2847.63
P0119,Silver Plaza,Gandhinagar,Industrial,130733,253521000,234083000,106794000,44489000,23636000,59164000,724,844,120,Patel Construction,Completed,2022-08-19,2024-08-12,2024-12-10,-19438000,-7.67,1790.54
P0120,Sunrise Heights,Ahmedabad,Industrial,76907,159776000,182377000,60820000,46901000,17816000,56840000,252,312,60,Shree BuildTech,Completed,2024-10-14,2025-06-23,2025-08-22,22601000,14.15,2371.4
P0121,Sunrise Residency,Mumbai,Commercial,133876,449235000,424345000,159967000,115211000,58081000,91086000,174,264,90,Apex Developers,Delayed,2022-02-10,2022-08-03,2022-11-01,-24890000,-5.54,3169.69
P0122,Green Valley Complex,Ahmedabad,Commercial,69435,226710000,222493000,95419000,55666000,17377000,54031000,629,639,10,Apex Developers,Ongoing,2024-11-17,2026-08-08,2026-08-18,-4217000,-1.86,3204.33
P0123,Crystal Heights,Pune,Industrial,45631,93856000,114544000,41678000,24277000,14212000,34377000,789,789,0,Urban Infra,Completed,2022-05-15,2024-07-12,2024-07-12,20688000,22.04,2510.22
P0124,Royal Plaza,Pune,Residential,134038,332420000,321683000,145538000,59113000,28919000,88113000,660,780,120,GreenStone Projects,Completed,2022-07-20,2024-05-10,2024-09-07,-10737000,-3.23,2399.94
P0125,Metro Residency,Gandhinagar,Industrial,25103,45981000,47703000,20912000,9270000,3398000,14123000,529,619,90,Sunrise Constructions,Ongoing,2024-02-19,2025-08-01,2025-10-30,1722000,3.75,1900.29
P0126,Crystal Mall,Pune,Infrastructure,69772,184726000,202085000,90179000,51466000,16842000,43598000,330,450,120,Patel Construction,Completed,2024-07-18,2025-06-13,2025-10-11,17359000,9.4,2896.36
P0127,Shree Mall,Ahmedabad,Infrastructure,131108,342695000,358864000,121675000,104835000,42537000,89817000,785,830,45,Apex Developers,Ongoing,2024-11-22,2027-01-16,2027-03-02,16169000,4.72,2737.16
P0128,Skyline Mall,Ahmedabad,Commercial,19382,68093000,71539000,24501000,14650000,9066000,23322000,412,412,0,Apex Developers,Ongoing,2024-12-07,2026-01-23,2026-01-23,3446000,5.06,3691.0
P0129,Urban Heights,Ahmedabad,Residential,89291,226348000,229339000,83900000,61509000,16440000,67490000,853,853,0,Patel Construction,Completed,2023-05-18,2025-09-17,2025-09-17,2991000,1.32,2568.44
